Cueanexo,departamento_id,SNU,SNU - INET,Secundario - INET,Nivel inicial - Jardín maternal,Nivel inicial - Jardín de infantes,Primario,Secundario
20070300,2056,0,0,0,1,1,0,0
20070400,2007,1,1,0,0,0,0,0
20070500,2056,0,0,0,0,0,1,0
20070600,2084,0,0,0,0,1,0,0
20070601,2084,0,0,0,0,1,0,0
20070602,2084,0,0,0,0,1,0,0
20070603,2084,0,0,0,0,1,0,0
20070700,2084,0,0,0,0,0,1,0
20070800,2098,1,0,0,1,1,1,1
20070900,2098,0,0,0,0,1,0,0
20071000,2098,0,0,0,0,0,1,0
20071100,2056,0,0,0,0,0,1,0
20071300,2014,0,0,0,0,1,0,0
20071302,2014,0,0,0,0,1,0,0
20071303,2014,0,0,0,0,1,0,0
20071400,2098,0,0,0,0,0,1,0
20071500,2014,1,0,0,0,0,0,0
20071600,2098,0,0,0,1,1,1,1
20071700,2098,1,0,0,1,1,1,1
20071800,2098,0,0,0,1,1,1,1
20072000,2021,1,0,0,0,0,0,0
20072100,2014,0,0,0,1,1,1,1
20072200,2070,0,0,0,0,0,0,0
20072300,2070,0,0,0,1,1,1,1
20072400,2084,0,0,1,0,0,0,1
20072600,2084,0,0,0,0,0,1,0
20072700,2105,0,0,0,0,0,1,0
20072800,2105,0,0,0,1,1,1,1
20072900,2098,0,0,0,1,1,1,1
20073000,2098,0,0,0,0,0,1,0
20073100,2098,0,0,0,0,0,1,0
20073200,2105,0,0,0,0,0,0,1
20073300,2098,0,0,0,1,1,1,1
20073500,2105,0,0,0,0,0,1,0
20073600,2056,0,0,0,1,1,1,0
20073700,2063,0,0,0,0,1,0,0
20073701,2063,0,0,0,0,1,0,0
20073702,2063,0,0,0,0,1,0,0
20073703,2063,0,0,0,0,1,0,0
20073800,2063,1,0,0,1,1,1,1
20073900,2098,0,0,0,1,1,1,1
20074000,2098,0,0,0,1,1,1,1
20074100,2021,0,0,0,1,1,1,0
20074200,2021,1,1,0,0,0,0,0
20074300,2098,0,0,0,0,0,1,0
20074400,2014,0,0,0,0,0,0,1
20074500,2070,0,0,0,0,0,1,0
