Provincia,Departamento,Cant_Expo_Mujeres,Cant_EE,Poblacion
Buenos Aires,Carlos Tejedor,1.0,60.0,14007.0
San Luis,Belgrano,2.0,59.0,5575.0
Buenos Aires,Saavedra,17.0,58.0,21407.0
Buenos Aires,General Viamonte,5.0,58.0,22530.0
Corrientes,San Cosme,4.0,58.0,19679.0
Salta,Iruya,0.0,58.0,6116.0
Santiago Del Estero,Guasayán,0.0,58.0,9251.0
Buenos Aires,Guaminí,9.0,57.0,11662.0
Corrientes,San Martín,7.0,57.0,15164.0
Buenos Aires,Dolores,5.0,57.0,31405.0
Buenos Aires,Rauch,2.0,57.0,16491.0
La Rioja,General Belgrano,0.0,57.0,7615.0
Buenos Aires,Ramallo,42.0,56.0,39648.0
Buenos Aires,Monte,20.0,56.0,24616.0
Buenos Aires,Daireaux,11.0,56.0,18328.0
Santa Fe,Garay,7.0,56.0,24853.0
Catamarca,El Alto,2.0,56.0,4375.0
Cordoba,Minas,2.0,56.0,4855.0
La Rioja,Chamical,2.0,56.0,15630.0
Cordoba,Pocho,0.0,56.0,5070.0
Chaco,Sargento Cabral,0.0,55.0,18696.0
La Rioja,General San Martín,0.0,55.0,5017.0
Tucuman,Juan Bautista Alberdi,7.0,54.0,34745.0
Buenos Aires,General Alvear,4.0,54.0,10150.0
Chaco,Independencia,7.0,53.0,21948.0
Salta,Cerrillos,4.0,53.0,55713.0
Buenos Aires,Adolfo Gonzales Chaves,2.0,53.0,12847.0
Formosa,Matacos,0.0,53.0,17017.0
Entre Rios,San Salvador,34.0,52.0,20786.0
Buenos Aires,Rivadavia,17.0,52.0,19735.0
Buenos Aires,General Paz,2.0,52.0,14141.0
Chaco,San Lorenzo,0.0,52.0,16045.0
Buenos Aires,Colón,37.0,51.0,27406.0
Buenos Aires,General Las Heras,29.0,51.0,17980.0
Tucuman,La Cocha,12.0,51.0,21196.0
Buenos Aires,Tapalqué,3.0,51.0,10695.0
Salta,San Carlos,0.0,51.0,7779.0
San Juan,Calingasta,11.0,50.0,10667.0
Buenos Aires,General Belgrano,9.0,49.0,20674.0
Buenos Aires,General La Madrid,0.0,49.0,11535.0
Rio Negro,San Antonio,26.0,48.0,35473.0
Salta,Chicoana,8.0,48.0,24715.0
Catamarca,Pomán,7.0,48.0,12219.0
Neuquen,Huiliches,6.0,48.0,20853.0
La Rioja,General Ortiz de Ocampo,0.0,48.0,7347.0
Buenos Aires,Benito Juárez,14.0,47.0,21185.0
Catamarca,Valle Viejo,9.0,47.0,33951.0
San Luis,Gobernador Dupuy,17.0,46.0,14334.0
San Juan,Santa Lucía,42.0,45.0,62697.0
Buenos Aires,Leandro N. Alem,18.0,45.0,17153.0
Buenos Aires,Villa Gesell,9.0,45.0,37325.0
Catamarca,Santa Rosa,8.0,45.0,13317.0
Jujuy,Tilcara,0.0,45.0,14621.0
Rio Negro,25 de Mayo,8.0,44.0,16555.0
Buenos Aires,Laprida,2.0,44.0,11496.0
Chaco,Fray Justo Santa María de Oro,1.0,44.0,10643.0
Jujuy,Santa Bárbara,0.0,44.0,20497.0
Santiago Del Estero,Silípica,0.0,44.0,9766.0
Buenos Aires,General Arenales,13.0,43.0,16231.0
Corrientes,San Miguel,5.0,43.0,12700.0
Misiones,Concepción,2.0,43.0,10303.0
Buenos Aires,Suipacha,0.0,43.0,11736.0
La Rioja,General Felipe Varela,2.0,42.0,11371.0
Catamarca,Ancasti,0.0,42.0,3282.0
Neuquen,Pehuenches,52.0,41.0,29721.0
Buenos Aires,Pinamar,25.0,41.0,39224.0
Chaco,General Donovan,2.0,41.0,15061.0
Jujuy,Santa Catalina,0.0,41.0,2641.0
Buenos Aires,Alberti,20.0,40.0,12906.0
La Rioja,Arauco,17.0,40.0,16251.0
Corrientes,Sauce,3.0,40.0,10382.0
La Pampa,Utracán,4.0,39.0,17686.0
Salta,Cachi,2.0,39.0,8928.0
Buenos Aires,Punta Indio,0.0,38.0,12161.0
Buenos Aires,Capitán Sarmiento,18.0,37.0,15882.0
San Juan,Iglesia,16.0,37.0,8826.0
Buenos Aires,General Pinto,9.0,37.0,12842.0
Jujuy,Tumbaya,1.0,37.0,5298.0
Corrientes,Mburucuyá,0.0,37.0,11541.0
La Rioja,Ángel Vicente Peñaloza,0.0,37.0,3184.0
Salta,Molinos,10.0,36.0,5808.0
San Juan,Angaco,4.0,36.0,10172.0
Santiago Del Estero,Sarmiento,2.0,36.0,5034.0
Catamarca,Paclín,1.0,36.0,4696.0
La Rioja,Famatina,0.0,36.0,6984.0
Salta,Cafayate,35.0,35.0,17822.0
San Juan,Albardón,14.0,35.0,31281.0
Buenos Aires,Castelli,0.0,35.0,9551.0
Catamarca,Ambato,0.0,35.0,5087.0
Neuquen,Chos Malal,0.0,35.0,18289.0
La Pampa,Realicó,11.0,34.0,17356.0
Chaco,Libertad,10.0,34.0,13775.0
Neuquen,Aluminé,9.0,34.0,10173.0
Neuquen,Minas,2.0,34.0,9267.0
Santiago Del Estero,Rivadavia,2.0,34.0,5314.0
Corrientes,Itatí,0.0,34.0,11946.0
La Pampa,Conhelo,7.0,33.0,15094.0
Chaco,Presidencia de la Plaza,0.0,33.0,13938.0
Buenos Aires,Florentino Ameghino,11.0,32.0,10759.0
Chubut,Gaiman,9.0,32.0,12505.0
Buenos Aires,Maipú,8.0,32.0,11253.0
San Juan,San Martín,16.0,31.0,15037.0
Chaco,2 de Abril,8.0,31.0,8310.0
La Pampa,Rancul,5.0,31.0,11090.0
Jujuy,Rinconada,2.0,31.0,1797.0
Buenos Aires,Pila,0.0,31.0,4615.0
Mendoza,La Paz,6.0,30.0,12018.0
Santiago Del Estero,Aguirre,1.0,30.0,8959.0
Jujuy,Susques,11.0,29.0,3966.0
Catamarca,Fray Mamerto Esquiú,0.0,29.0,14624.0
Chubut,Río Senguer,0.0,29.0,6347.0
Neuquen,Ñorquín,0.0,29.0,5572.0
La Pampa,Chapaleufú,20.0,28.0,12277.0
Corrientes,General Alvear,4.0,28.0,9051.0
Cordoba,Sobremonte,2.0,28.0,4381.0
Chaco,1° de Mayo,0.0,28.0,14194.0
Rio Negro,Pilcaniyeu,0.0,28.0,9309.0
